event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480098,true,2012-10-05 18:24:06.000,-82.41572,28.0626,1.9,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480099,true,2012-10-05 18:28:11.000,-82.41573,28.06271,1.7,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480100,true,2012-10-05 18:32:12.000,-82.4159,28.06288,1.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480101,true,2012-10-05 18:36:10.000,-82.41513,28.06206,4.3,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480102,true,2012-10-05 18:40:08.000,-82.41548,28.06246,5.6,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480103,true,2012-10-05 18:44:08.000,-82.41564,28.06194,1.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480104,true,2012-10-05 18:48:11.000,-82.41588,28.0618,1.3,8,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480105,true,2012-10-05 18:52:10.000,-82.41597,28.06176,1.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480106,true,2012-10-05 18:56:06.000,-82.41624,28.06181,1.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480107,true,2012-10-05 19:00:09.000,-82.41671,28.06149,1.4,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480108,true,2012-10-05 19:04:10.000,-82.41711,28.06154,1.4,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480109,true,2012-10-05 19:08:12.000,-82.41824,28.06194,1.1,8,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480110,true,2012-10-05 19:12:10.000,,,0.0,0,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480111,true,2012-10-05 19:16:08.000,-82.41807,28.062,1.4,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480112,true,2012-10-05 19:20:12.000,-82.41829,28.06207,1.9,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480113,true,2012-10-05 19:24:13.000,-82.41801,28.06199,1.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480114,true,2012-10-05 19:28:08.000,-82.41799,28.062,2.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480115,true,2012-10-05 19:32:11.000,-82.41807,28.06198,2.1,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480116,true,2012-10-05 19:36:06.000,-82.41766,28.06173,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
