timestamp,month,day,external-temperature,longitude,latitude,altitude,id
2012-01-19 19:00:25,1,19,-16.0,-111.43389170060011,57.363379100715086,303.7,original
2012-01-19 22:00:53,1,19,-13.0,-111.43452530079136,57.36327260066029,302.99,original
2012-01-20 01:00:50,1,20,-24.0,-111.44149140076432,57.36397000108552,291.24,original
2012-01-20 04:00:41,1,20,-18.0,-111.4420564998653,57.36332740106199,297.89,original
2012-01-20 07:00:43,1,20,-19.0,-111.44289999997788,57.36293510122515,304.49,original
2012-01-20 10:00:53,1,20,-28.0,-111.44433719977594,57.3633839012071,314.05,original
2012-01-20 13:00:43,1,20,-25.0,-111.44479889989636,57.363468700795,309.19,original
2012-01-20 16:00:43,1,20,-24.0,-111.44562569953914,57.36570180068016,305.47,original
2012-01-20 19:00:47,1,20,-13.0,-111.4479395991919,57.36802950044207,311.66,original
2012-01-20 22:00:53,1,20,-12.0,-111.44914999934248,57.36858880116547,308.58,original
2012-01-21 01:00:44,1,21,-22.0,-111.4477865993214,57.36854000107426,312.06,original
2012-01-21 04:00:53,1,21,-20.0,-111.44784240030796,57.36854610065849,317.56,original
2012-01-21 07:00:49,1,21,-19.0,-111.44918980035352,57.36866260065903,315.19,original
2012-01-21 10:00:41,1,21,-24.0,-111.45050510055322,57.36891440084637,315.05,original
2012-01-21 13:00:25,1,21,-22.0,-111.44862640015111,57.37144840072088,320.78,original
2012-01-21 16:00:53,1,21,-20.0,-111.44853189980576,57.371635600444776,319.31,original
2012-01-21 19:01:17,1,21,-15.0,-111.44860210045708,57.372030100515886,317.29,original
2012-01-21 22:00:53,1,21,-13.0,-111.44887110057093,57.37233870114216,324.98,original
2012-01-22 01:00:43,1,22,-12.0,-111.44897290066932,57.37614790051212,314.61,original
2012-01-22 04:00:53,1,22,-10.0,-111.44926579976324,57.376210701271134,318.45,original
2012-01-22 07:00:43,1,22,-5.0,-111.44920990061078,57.37588520089339,313.16,original
2012-01-22 10:00:43,1,22,-10.0,-111.45009889979092,57.374249400626674,308.67,original
2012-01-22 13:00:52,1,22,-17.0,-111.45012320033274,57.37463570054353,313.19,original
2012-01-22 16:01:45,1,22,-12.0,-111.45079890064956,57.374691801036775,318.69,original
2012-01-22 19:00:44,1,22,-8.0,-111.44286419945313,57.37529590105131,329.05,original
2012-01-22 22:00:53,1,22,-8.0,-111.44281009936918,57.374698100640735,306.36,original
2012-01-23 01:00:43,1,23,-10.0,-111.44242009981514,57.37418380055609,307.41,original
2012-01-23 04:00:50,1,23,-17.0,-111.44172929948417,57.37512570096464,317.44,original
2012-01-23 07:00:47,1,23,-9.0,-111.44160379961198,57.37524570114111,302.94,original
2012-01-23 10:00:48,1,23,-10.0,-111.44084729958894,57.37592220050672,305.77,original
2012-01-23 13:01:08,1,23,-10.0,-111.44085059972907,57.37589080125104,304.45,original
2012-01-23 16:00:54,1,23,-10.0,-111.44048489966804,57.37573380121262,304.95,original
2012-01-23 19:00:49,1,23,-2.0,-111.4393953002028,57.37576740083015,310.87,original
2012-01-23 22:00:44,1,23,0.0,-111.43947380050795,57.3755947007131,304.19,original
2012-01-24 01:00:54,1,24,-3.0,-111.44214849982104,57.37639550068301,307.65,original
2012-01-24 04:00:53,1,24,-4.0,-111.44230320077828,57.37602420057853,305.62,original
2012-01-24 07:00:54,1,24,-1.0,-111.44154839981734,57.37614760045729,298.01,original
2012-01-24 10:01:24,1,24,-4.0,-111.44231530000704,57.376425500469736,316.2,original
2012-01-24 13:00:43,1,24,-12.0,-111.44178090028468,57.37749340103498,329.12,original
2012-01-24 16:00:53,1,24,-13.0,-111.44218750002555,57.37782180044381,316.39,original
2012-01-24 19:00:53,1,24,-3.0,-111.44331419983816,57.37763000100345,282.57,original
2012-01-24 22:02:13,1,24,-2.0,-111.4445789991764,57.377407600892575,285.37,original
2012-01-25 01:00:44,1,25,-8.0,-111.44108100005106,57.373151500520734,300.27,original
2012-01-25 04:00:50,1,25,-7.0,-111.4375754992868,57.36877040123513,311.06,original
2012-01-25 07:00:54,1,25,-13.0,-111.44183069987956,57.36657830041311,303.53,original
2012-01-25 10:00:54,1,25,-14.0,-111.44120120043084,57.36500080114242,304.41,original
2012-01-25 13:00:49,1,25,-13.0,-111.44306830039515,57.36467750081018,306.09,original
2012-01-25 16:00:48,1,25,-7.0,-111.4437156007595,57.3650534007633,304.22,original
2012-01-25 19:00:42,1,25,-2.0,-111.44492340020264,57.368428300449416,304.59,original
2012-01-25 22:00:44,1,25,1.0,-111.44400410032904,57.36863960043242,293.08,original
2012-01-26 01:00:41,1,26,0.0,-111.44657619985672,57.369839400548926,303.71,original
2012-01-26 04:00:50,1,26,2.0,-111.44683530064944,57.36953530098892,304.01,original
2012-01-26 07:00:49,1,26,2.0,-111.44716120032358,57.36933770052547,303.86,original
2012-01-26 10:00:47,1,26,0.0,-111.44780479930216,57.37046340044288,306.71,original
2012-01-26 13:00:50,1,26,-4.0,-111.44835780059095,57.37079900114568,319.59,original
2012-01-26 16:02:16,1,26,-5.0,-111.44833020043632,57.37174130112881,318.89,original
2012-01-26 19:00:53,1,26,2.0,-111.4455944006382,57.371182000753,308.9,original
2012-01-26 22:00:53,1,26,1.0,-111.4454304001728,57.370522400961065,296.56,original
2012-01-27 01:00:44,1,27,-4.0,-111.4457336994157,57.3701261005686,298.7,original
2012-01-27 04:00:44,1,27,0.0,-111.44643589929804,57.36970370122725,309.82,original
2012-01-27 07:00:44,1,27,-4.0,-111.4466669002094,57.36717340086851,306.21,original
2012-01-27 10:00:47,1,27,-5.0,-111.44633490038738,57.36577140126751,308.82,original
2012-01-27 13:00:54,1,27,-4.0,-111.44589800052708,57.36562080107089,305.31,original
2012-01-27 16:00:53,1,27,-15.0,-111.4461901994312,57.36540000041457,305.62,original
2012-01-27 19:00:42,1,27,-4.0,-111.44579580009366,57.36530840100856,300.29,original
2012-01-27 22:00:53,1,27,-1.0,-111.43704180046736,57.36712280092606,297.95,original
2012-01-28 01:00:43,1,28,-8.0,-111.43543139958868,57.36732910048131,289.17,original
2012-01-28 04:00:54,1,28,-12.0,-111.4346156007529,57.36722440059526,304.95,original
2012-01-28 07:00:48,1,28,-17.0,-111.43445320028684,57.367033100677816,292.46,original
2012-01-28 10:00:42,1,28,-19.0,-111.4346575993028,57.36708690093146,314.75,original
2012-01-28 13:00:25,1,28,-22.0,-111.43305389955974,57.36720620072206,299.12,original
2012-01-28 16:00:43,1,28,-19.0,-111.43222639997396,57.36721610103128,292.48,original
2012-01-28 19:00:48,1,28,-17.0,-111.43286019997606,57.36806610058866,300.73,original
2012-01-28 22:00:44,1,28,-19.0,-111.43207239955848,57.36683030111492,284.37,original
2012-01-29 01:00:53,1,29,-19.0,-111.43163059924804,57.36662500099701,293.07,original
2012-01-29 04:00:47,1,29,-18.0,-111.4272550997774,57.3666749012006,307.32,original
2012-01-29 07:00:53,1,29,-19.0,-111.4269843008164,57.36686120057776,299.98,original
2012-01-29 10:00:43,1,29,-17.0,-111.4157872006368,57.36601260115439,285.68,original
2012-01-29 13:00:44,1,29,-9.0,-111.41572810050172,57.36615410072543,301.72,original
2012-01-29 16:00:50,1,29,-9.0,-111.41566619957028,57.366111900552056,291.67,original
2012-01-29 19:01:06,1,29,-5.0,-111.4146900999557,57.36741570058597,298.43,original
2012-01-29 22:00:49,1,29,-2.0,-111.4143546001513,57.3664459008809,296.34,original
2012-01-30 01:00:41,1,30,-5.0,-111.41426349983374,57.36572760082189,298.89,original
2012-01-30 04:00:26,1,30,-8.0,-111.41504829927948,57.36541400125134,310.57,original
2012-01-30 07:00:24,1,30,-7.0,-111.41516570003206,57.36562690080782,298.95,original
2012-01-30 10:00:53,1,30,-5.0,-111.4156609995986,57.365759200563,297.82,original
2012-01-30 13:00:47,1,30,-8.0,-111.41715129974736,57.36579840044677,302.15,original
2012-01-30 16:01:18,1,30,-4.0,-111.4178221002464,57.36624820124575,296.2,original
2012-01-30 19:01:24,1,30,-1.0,-111.41945799980309,57.365916201017065,296.12,original
2012-01-30 22:00:47,1,30,-3.0,-111.41799120043976,57.3668878007272,293.33,original
2012-01-31 01:00:53,1,31,-5.0,-111.41572479918328,57.36617090096372,300.52,original
2012-01-31 04:00:49,1,31,-1.0,-111.4157811993122,57.36612670044149,307.24,original
2012-01-31 07:00:27,1,31,-3.0,-111.41523209979236,57.365498200738095,303.37,original
2012-01-31 10:00:25,1,31,-8.0,-111.41369080066455,57.36501080120564,296.57,original
2012-01-31 13:00:42,1,31,-12.0,-111.41109459976352,57.3651617010885,304.81,original
2012-01-31 16:00:43,1,31,-17.0,-111.40913099921453,57.36611620094628,303.23,original
2012-01-31 19:00:44,1,31,-3.0,-111.40808690082956,57.36563900102762,304.02,original
2012-01-31 22:01:23,1,31,1.0,-111.40747060068676,57.36497380104203,302.78,original
2012-02-01 01:00:44,2,1,-8.0,-111.40194140003624,57.36492220119539,302.89,original
2012-02-01 04:00:44,2,1,-8.0,-111.40165669968492,57.36472480067446,303.91,original
2012-02-01 07:00:44,2,1,-8.0,-111.40152719968556,57.36444450041674,307.27,original
2012-02-01 10:01:11,2,1,-8.0,-111.40155710068711,57.363980300869855,309.51,original
2012-02-01 13:00:43,2,1,-7.0,-111.40424360059612,57.36406800096541,306.82,original
2012-02-01 16:00:49,2,1,-8.0,-111.40613939916642,57.36249030044501,300.6,original
2012-02-01 19:00:26,2,1,1.0,-111.4066215003572,57.36218860058901,309.06,original
2012-02-01 22:01:11,2,1,2.0,-111.40745529933052,57.36176470096051,297.73,original
2012-02-02 01:00:50,2,2,-4.0,-111.40852240019328,57.36125680101056,301.89,original
